EMPRESA;ACAO;SETOR
AMBEV S/A;ABEV3;Consumo não-cíclico
AZUL;AZUL4;Bens Industriais
B2W DIGITAL;BTOW9;Comércio
B3;B3SA3;Financeiro
BB SEGURIDADE;BBSE3;Seguros
BR MALLS PAR;VRML3;Exploração de imóveis
BRADESCO;BBDC4;Financeiro
BRADESCO;BBDC3;Financeiro
BRADESPAR;BRAP4;Mineração
BANCO DO BRASIL;BBAS3;Financeiro
BRASKEM;BRKM5;Químicos
BRF S/A;BRFS3;Alimentos processados
CCR S/A;CCRO3;Bens industriais
CEMIG;CMIG4;Energia elétrica
CIELO;CIEL3;Financeiro
COSAN;CSAN3;Petróleo, Gás e Biocombustíveis
CVC BRASIL;CVCB3;Viagens e lazer
